timestamp;temperature;humidity;category
1591601366;3.53765634344522;33;2
1591601367;57.3326561726015;91;4
1591601368;87.951657358581;89;3
1591601369;38.8872407104105;38;2
1591601370;75.6941534261042;53;1
1591601371;86.4880602831571;59;1
1591601372;39.3511402841795;76;2
1591601373;70.6032248765637;19;1
1591601374;89.4741781658834;15;4
1591601375;1.69000074274339;4;3
1591601376;33.4871401398836;99;2
1591601377;73.4544871574453;60;1
1591601378;88.732705525923;24;1
1591601379;23.7777185754436;47;3
1591601380;25.6782523409907;8;5
1591601381;13.143778538961;35;1
1591601382;27.0816564329417;12;2
1591601383;22.3272227613495;27;1
1591601384;40.3103499268176;41;1
1591601385;80.6445587809639;96;1
1591601386;15.5133593490869;60;1
1591601387;88.9083401875723;18;3
1591601388;71.3673158169912;69;5
1591601389;95.9241242113236;44;1
1591601390;10.5101358851739;72;3
1591601391;95.4914812198266;49;3
1591601392;41.576468512434;47;4
1591601393;33.4189988260612;88;1
1591601394;33.7352478057271;29;4
1591601395;42.8592512080961;15;1
1591601396;78.4264640835329;45;4
1591601397;38.0034423755777;16;3
1591601398;3.85342043694606;64;5
1591601399;98.5740291764245;76;1
1591601400;82.1832542792729;65;1
1591601401;49.8643945405843;38;4
1591601402;6.35780378827832;34;1
1591601403;38.1596539777497;20;5
1591601404;37.3395821896762;50;5
1591601405;42.1321941168281;66;2
1591601406;43.1813549088205;41;4
1591601407;39.2522010973488;61;3
1591601408;19.6823687341014;27;2
1591601409;76.0393837668511;9;2
1591601410;43.2749113074694;10;1
1591601411;99.8255613926261;75;2
1591601412;73.313503074683;54;5
1591601413;87.4169225211894;30;2
1591601414;29.6207057379948;89;4
1591601415;46.4437565952248;35;3
1591601416;95.0230425869999;11;5
1591601417;3.05245018469367;90;4
1591601418;28.3704149371523;71;5
1591601419;17.1001236962751;77;2
1591601420;64.4622060422034;25;5
1591601421;42.4186436197292;90;5
1591601422;4.50517947656679;61;1
1591601423;45.7273753844964;63;5
1591601424;41.3838796878246;23;3
1591601425;57.8879608942656;37;2
1591601426;85.4993144678423;97;5
1591601427;89.766806397606;22;3
1591601428;94.0680280994803;94;2
1591601429;75.366372624136;99;4
1591601430;68.1383647815541;70;1
1591601431;42.7166752917321;36;1
1591601432;3.46402776528769;61;4
1591601433;0.246890400449373;44;2
1591601434;88.6443782921537;27;2
1591601435;3.83459639671939;22;4
1591601436;27.2877712776384;11;1
1591601437;22.6746816498848;4;5
1591601438;49.4812561919156;12;5
1591601439;50.2998753984906;22;2
1591601440;38.3731948936813;95;1
1591601441;99.3695534392552;95;4
1591601442;20.4160342530055;28;2
1591601443;11.7225550088129;47;1
1591601444;32.1939966180542;5;4
1591601445;44.4735607114688;63;2
1591601446;78.4883330134019;11;2
1591601447;93.5206859578213;37;3
1591601448;79.0357399265126;29;4
1591601449;62.3845088057295;25;5
1591601450;33.7053739200501;65;1
1591601451;87.818716397791;51;2
1591601452;73.92484260339;23;5
1591601453;6.14334005375416;94;5
1591601454;50.0128050523938;55;4
1591601455;62.4452282652924;3;2
1591601456;73.875194118492;21;2
1591601457;35.1493460880656;87;1
1591601458;39.2045687102878;34;3
1591601459;86.2922329471136;54;2
1591601460;76.9373372078665;24;5
1591601461;95.9718512432976;16;2
1591601462;8.83674232918025;93;2
1591601463;84.6677112011685;38;5
1591601464;43.8447685824424;39;4
1591601465;81.9858463458413;89;4
1591601466;6.56622133248765;62;1
1591601467;43.9429052459639;26;5
1591601468;92.8604833706961;11;2
1591601469;58.7348733707117;12;3
1591601470;11.3246434481094;98;3
1591601471;34.0799753285192;80;2
1591601472;96.4979957702997;29;5
1591601473;12.3500408896003;45;1
1591601474;25.9524747830076;84;3
1591601475;76.1854180848579;99;2
1591601476;57.093130303824;21;2
1591601477;22.5359421850219;33;5
1591601478;19.8967625654557;77;1
1591601479;21.6558295888027;52;5
1591601480;28.866235570859;31;1
1591601481;28.858179307354;66;5
1591601482;45.2994779150907;56;4
1591601483;43.7023989163665;96;5
1591601484;59.5169540890943;26;4
1591601485;14.5896403393273;71;3
1591601486;50.8696713425759;0;4
1591601487;8.24105165115573;13;3
1591601488;71.8260137749944;52;1
1591601489;53.67420647169;7;3
1591601490;10.4135775330048;45;1
1591601491;91.0256434654254;65;3
1591601492;82.7043250391309;43;1
1591601493;49.7874562310609;69;4
1591601494;23.3593682530879;48;1
1591601495;18.3898364846353;48;2
1591601496;47.6493614389164;10;2
1591601497;40.5684237792759;75;2
1591601498;48.8201759235095;1;4
1591601499;12.1882470840215;95;4
1591601500;34.49953394555;57;4
